Date,PETR4,ITUB4
2025-01-02,35.69438552856445,27.48052978515625
2025-01-03,35.3157958984375,26.806325912475586
2025-01-06,35.1507682800293,28.010902404785156
2025-01-07,35.89824295043945,28.316539764404297
2025-01-08,35.60702133178711,27.858083724975586
2025-01-09,35.7623405456543,27.92999839782715
2025-01-10,35.859413146972656,27.543453216552734
2025-01-13,35.98561096191406,27.74121856689453
2025-01-14,35.742923736572266,27.759199142456055
2025-01-15,36.19917678833008,28.963777542114258
2025-01-16,35.96619415283203,28.873882293701172
2025-01-17,36.11180877685547,29.080636978149414
2025-01-20,36.19917678833008,29.35930824279785
2025-01-21,36.20888137817383,29.4222354888916
2025-01-22,36.005027770996094,29.314361572265625
2025-01-23,35.75263214111328,29.251436233520508
2025-01-24,35.56818771362305,29.179519653320312
2025-01-27,36.09239196777344,29.880691528320312
2025-01-28,36.04385757446289,29.934627532958984
2025-01-29,35.820587158203125,29.862714767456055
2025-01-30,36.29624938964844,30.59085464477539
2025-01-31,36.58747482299805,30.39308738708496
2025-02-03,36.40303421020508,30.096437454223633
2025-02-04,36.04385757446289,30.204309463500977
2025-02-05,35.78175354003906,30.662769317626953
2025-02-06,36.06624396785254,30.827160382182168
2025-02-07,36.0094769795652,30.664509064092304
2025-02-10,36.377325600594965,30.368479106413364
2025-02-11,37.226570558184996,30.66229852492986
2025-02-12,37.11443293658046,31.151821901259787
2025-02-13,37.002642247248765,31.60256389837379
2025-02-14,37.897669271039746,31.220543799288805
2025-02-17,38.35287791896347,31.091347393335273
2025-02-18,38.1019689507753,31.26138446339909
2025-02-19,38.43110902427034,31.734468524836306
2025-02-20,38.18317974063871,31.522240662566517
2025-02-21,37.93552568714198,31.45021597874436
2025-02-24,38.09217793951024,30.944023978573814
2025-02-25,37.01800885556518,30.404264293679883
2025-02-26,36.07872250600661,30.790030173569413
2025-02-27,35.79246263121852,31.431805259690673
2025-02-28,35.26658306213955,31.413570040546926
2025-03-03,35.45045279852603,31.902145090206066
2025-03-04,34.985330055487445,32.09115063686489
2025-03-05,34.261674053568164,31.796656683825567
2025-03-06,35.032038596562,31.984922592098396
2025-03-07,34.930913554767784,32.7388247612279
2025-03-10,34.98376133975211,32.73760063736387
2025-03-11,34.25360746268594,33.52230962483991
2025-03-12,33.991028184086986,32.22177218189051
2025-03-13,34.06457929127523,32.635130396757006
2025-03-14,33.49348990119311,32.69405984829451
2025-03-17,33.698988212894086,32.56377041505049
2025-03-18,33.412223965023806,32.62487345316115
2025-03-19,33.282738023546955,31.668523125113367
2025-03-20,32.99898273943072,31.580007122777133
2025-03-21,33.93233166838896,31.764961389618136
2025-03-24,33.942427949627,32.48502257935036
2025-03-25,33.42088000863754,32.24872479449767
2025-03-26,33.8499430707786,31.873755841427705
2025-03-27,33.24698572156638,31.649799496864468
2025-03-28,33.367770488840335,32.10020879887704
2025-03-31,32.40360703017289,32.274553592220556
2025-04-01,31.77423855181604,32.03422425770409
2025-04-02,31.883952409143607,32.29687323068088
2025-04-03,32.25307288473293,32.3600511868688
2025-04-04,32.35210672612557,32.84641223459546
2025-04-07,32.312160795870874,32.51693656073173
2025-04-08,32.18237721084713,32.373376490498
2025-04-09,31.4847331133245,32.199155205748134
2025-04-10,31.160513938113965,31.508395608938432
2025-04-11,30.960788082439098,31.664103929306584
2025-04-14,31.46720853482832,31.8039272003152
2025-04-15,31.645132764709206,31.822268583957342
2025-04-16,30.824080734302054,31.726203296780252
2025-04-17,30.95850451586663,31.6047997202674
2025-04-18,30.55210537003475,31.114429256288528
2025-04-21,30.393920421031847,30.627052417513713
2025-04-22,30.165244649125064,30.276323466649043
2025-04-23,30.568587157616786,29.616583039978078
2025-04-24,30.394494476575293,29.85979239072525
2025-04-25,30.636824576505955,30.256236762509406
2025-04-28,31.575934814469516,30.70645263833176
2025-04-29,32.1898632890176,30.433249322903105
